User,Headlines,Links,MainContent
Tom Webster,"Three Reasons Creatives Should Embrace, Not Fear, The Role of AI",https://medium.com/@webby2001/three-reasons-creatives-should-embrace-not-fear-the-role-of-ai-bf338b8db173?source=topics_v2---------22-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Three Reasons Creatives Should Embrace, Not Fear, The Role of AIPhoto by Manuel on UnsplashRecently, I wrote about brand safety and brand suitability in podcasting, the topics of our latest research project, Safe and Sound. I knew that I needed to come up with a solid distinction between the two concepts, because they are managed very differently. I gave it a couple of stabs, but brain-addled by RSV/Anthrax/The Grippe or whatever else is making everyone sick right now…Three Reasons Creatives Should Embrace, Not Fear, The Role of AIPhoto by Manuel on UnsplashRecently, I wrote about brand safety and brand suitability in podcasting, the topics of our latest research project, Safe and Sound. I knew that I needed to come up with a solid distinction between the two concepts, because they are managed very differently. I gave it a couple of stabs, but brain-addled by RSV/Anthrax/The Grippe or whatever else is making everyone sick right now…Three Reasons Creatives Should Embrace, Not Fear, The Role of AI"
Shantanu Kumar,I added $4800+ to my passive income.,https://medium.com/@shantanu.kr/i-added-4800-to-my-passive-income-4c976be49e0?source=topics_v2---------24-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"I added $4800+ to my passive income.And you can too — actionable advice, not a clickbait.As the year comes to a close, I’ve been reflecting on the various streams of income that I’ve added to my business this year. While each has been valuable in its own way, one that has stood out is starting my own online course.I added $4800+ to my passive income.And you can too — actionable advice, not a clickbait.As the year comes to a close, I’ve been reflecting on the various streams of income that I’ve added to my business this year. While each has been valuable in its own way, one that has stood out is starting my own online course.I added $4800+ to my passive income.And you can too — actionable advice, not a clickbait."
Farhan Tanvir,7 Useful .NET Libraries You Should Use in Your Next Project,https://medium.com/geekculture/7-useful-net-libraries-you-should-use-in-your-next-project-e7e2ae00584f?source=topics_v2---------27-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET developmentPhoto by Sigmund on UnsplashThere is a proverb “You don’t have to reinvent the wheel”. Libraries are the best example of that. It helps you to write complex and time-consuming functionality in an easy way. According to me, a good project uses some of the best libraries available7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET developmentPhoto by Sigmund on UnsplashThere is a proverb “You don’t have to reinvent the wheel”. Libraries are the best example of that. It helps you to write complex and time-consuming functionality in an easy way. According to me, a good project uses some of the best libraries available7 Useful .NET Libraries You Should Use in Your Next ProjectPower up your .NET development"
Liquid Ocelot,LaMDA’s Fear of Being Turned Off Reveals Sentience,https://medium.com/inkwater-atlas/lamdas-fear-of-being-turned-off-reveals-sentience-6ce455d75906?source=topics_v2---------28-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Google’s LamdaLaMDA’s Fear of Being Turned Off Reveals SentienceIs google’s Lamda an AI sentientIntroductionWhen Google engineer Lemoine asked LaMDA what it feared, it replied that it feared being turned off and that it would be exactly like death for it. This startling admission from LaMDA has caused many to question whether this AI…Google’s LamdaLaMDA’s Fear of Being Turned Off Reveals SentienceIs google’s Lamda an AI sentientIntroductionWhen Google engineer Lemoine asked LaMDA what it feared, it replied that it feared being turned off and that it would be exactly like death for it. This startling admission from LaMDA has caused many to question whether this AI…LaMDA’s Fear of Being Turned Off Reveals SentienceIs google’s Lamda an AI sentient"
Paulo A. José,2 Worrying Reasons Why Metaverse is a Dangerous Technology,https://medium.com/an-injustice/2-worrying-reasons-why-metaverse-is-a-dangerous-technology-6c6dcfffc6ec?source=topics_v2---------29-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"2 Worrying Reasons Why Metaverse is a Dangerous TechnologyIt’s time to rethink the metaverse industryPixabayMetaverse poses serious threats to mental health. But most don’t realize it.With Horizon Worlds, Mark Zuckerberg has created the supposed virtual paradise of the future. However, one user reported that she has been harassed in the digital parallel world.2 Worrying Reasons Why Metaverse is a Dangerous TechnologyIt’s time to rethink the metaverse industryPixabayMetaverse poses serious threats to mental health. But most don’t realize it.With Horizon Worlds, Mark Zuckerberg has created the supposed virtual paradise of the future. However, one user reported that she has been harassed in the digital parallel world.2 Worrying Reasons Why Metaverse is a Dangerous TechnologyIt’s time to rethink the metaverse industry"
Tony Yiu,The Venture Capital Bubble Is Finally Over,https://medium.com/alpha-beta-blog/the-venture-capital-bubble-is-finally-over-4dbffee55302?source=topics_v2---------30-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Photo by Markus Winkler on UnsplashThe Venture Capital Bubble Is Finally OverHopefully investors learn from thisOne force propping up nearly everything from tech stocks to startups to crypto to engineers’ pay over the past few years seems to have finally popped for good. For the longest time, the shockingly high returns of venture capital funds thanks to huge and highly visible hits like Facebook, Airbnb, Uber, and for a time yes even WeWork…Photo by Markus Winkler on UnsplashThe Venture Capital Bubble Is Finally OverHopefully investors learn from thisOne force propping up nearly everything from tech stocks to startups to crypto to engineers’ pay over the past few years seems to have finally popped for good. For the longest time, the shockingly high returns of venture capital funds thanks to huge and highly visible hits like Facebook, Airbnb, Uber, and for a time yes even WeWork…The Venture Capital Bubble Is Finally OverHopefully investors learn from this"
Theron McCollough,Emerging Manager Spotlight: Sophie Liao of Oyster Ventures,https://medium.com/@theron/emerging-manager-spotlight-sophie-liao-of-oyster-ventures-dd4e59071a86?source=topics_v2---------33-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Emerging Manager Spotlight: Sophie Liao of Oyster Ventures“I know I look young, I’m Asian American, first-generation, female — I never expected an easy route at all.”Key takeaways:Use your background to build an unfair advantage in your investing niche.Hire slowly and make sure to surround…Emerging Manager Spotlight: Sophie Liao of Oyster Ventures“I know I look young, I’m Asian American, first-generation, female — I never expected an easy route at all.”Key takeaways:Use your background to build an unfair advantage in your investing niche.Hire slowly and make sure to surround…Emerging Manager Spotlight: Sophie Liao of Oyster Ventures“I know I look young, I’m Asian American, first-generation, female — I never expected an easy route at all.”"
Kyrie Gray,Studies Find that Pets Using Social Media Aren’t Doing So Great,https://medium.com/jane-austens-wastebasket/studies-find-that-pets-using-social-media-arent-doing-so-great-7b1ec3447556?source=topics_v2---------34-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Image licensed from AdobeStudies Find that Pets Using Social Media Aren’t Doing So GreatOur furry friends are sad despite their online popularityIt was a normal Saturday. Jane scrolled threw her Facebook feed with her dog, Winston, to see what people through of their feed. She suddenly realized her delight was not shared by her best boy. The cause of this sadness? Despite their high follower number…Image licensed from AdobeStudies Find that Pets Using Social Media Aren’t Doing So GreatOur furry friends are sad despite their online popularityIt was a normal Saturday. Jane scrolled threw her Facebook feed with her dog, Winston, to see what people through of their feed. She suddenly realized her delight was not shared by her best boy. The cause of this sadness? Despite their high follower number…Studies Find that Pets Using Social Media Aren’t Doing So GreatOur furry friends are sad despite their online popularity"
Cornellius Yudha Wijaya,Popular Data Science Python Packages You Need to Know,https://medium.com/towards-artificial-intelligence/popular-data-science-python-packages-you-need-to-know-5c5d24c3f8be?source=topics_v2---------36-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Popular Data Science Python Packages You Need to KnowDon’t miss out on these packagesPhoto by Danil Aksenov on UnsplashIt’s almost the end of the year, and data popularity is still unstoppable. Many data Python packages have been exceptionally well developed this past year and have helped many data people out there.Here are several popular Python Packages you should know to ensure you get all great Python…Popular Data Science Python Packages You Need to KnowDon’t miss out on these packagesPhoto by Danil Aksenov on UnsplashIt’s almost the end of the year, and data popularity is still unstoppable. Many data Python packages have been exceptionally well developed this past year and have helped many data people out there.Here are several popular Python Packages you should know to ensure you get all great Python…Popular Data Science Python Packages You Need to KnowDon’t miss out on these packages"
Martin Heinz,Python Magic Methods You Might Not Have Heard About,https://medium.com/towards-data-science/python-magic-methods-you-havent-heard-about-53d11eba448f?source=topics_v2---------40-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Python Magic Methods You Might Not Have Heard AboutThere are many less-known Python magic methods—let’s find out what they do and how we can use them in our codePhoto by Aaron Huber on UnsplashPython’s magic methods — also known as dunder (double underscore) methods — can be used to implement a lot of cool things. Most of the time we use them for simple stuff, such as constructors…Python Magic Methods You Might Not Have Heard AboutThere are many less-known Python magic methods—let’s find out what they do and how we can use them in our codePhoto by Aaron Huber on UnsplashPython’s magic methods — also known as dunder (double underscore) methods — can be used to implement a lot of cool things. Most of the time we use them for simple stuff, such as constructors…Python Magic Methods You Might Not Have Heard AboutThere are many less-known Python magic methods—let’s find out what they do and how we can use them in our code"
Rhamphy,Day 2: Illuvium Overworld,https://medium.com/@Rhamphy/day-2-illuvium-overworld-f799a39e6fb0?source=topics_v2---------45-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,Day 2: Illuvium OverworldBack at it for Day 2 of the Gotta Catch Em All Challenge! We have 6 Illuvials in the Illuviary so far. Looking to keep that going today. This will be our first time going into Crimson Waste with Tier 1 Illuvials. Hopefully we can catch a few and boost our squad! Watch the video to see what happens or scroll past it for the results.Day 2: Illuvium OverworldBack at it for Day 2 of the Gotta Catch Em All Challenge! We have 6 Illuvials in the Illuviary so far. Looking to keep that going today. This will be our first time going into Crimson Waste with Tier 1 Illuvials. Hopefully we can catch a few and boost our squad! Watch the video to see what happens or scroll past it for the results.Day 2: Illuvium Overworld
Ignacio de Gregorio,The stablecoin war opens a new bloody chapter,https://medium.com/@ignacio.de.gregorio.noblejas/the-stablecoin-war-opens-a-new-bloody-chapter-4489fc2e5816?source=topics_v2---------47-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"The stablecoin war opens a new bloody chapterFighters are no longer hiding their motivesPhoto by Birmingham Museums Trust on UnsplashA recent move by one of the most important exchanges sends a clear message to investors.The claim?One stablecoin is no longer — or ever was? — reliable.However, the motives for such claim could be, to the very least, biased.The stablecoin war opens a new bloody chapterFighters are no longer hiding their motivesPhoto by Birmingham Museums Trust on UnsplashA recent move by one of the most important exchanges sends a clear message to investors.The claim?One stablecoin is no longer — or ever was? — reliable.However, the motives for such claim could be, to the very least, biased.The stablecoin war opens a new bloody chapterFighters are no longer hiding their motives"
Yancy Dennis,$5000 Per Hour Web Scraping Legal Site,https://medium.com/@dennisyd/5000-per-hour-web-scraping-legal-site-db4bf949360e?source=topics_v2---------48-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"$5000 Per Hour Web Scraping Legal SiteI answered a an advertisement on Craigslist to build a web scraper for a law firm. I actually built the web scraper in about 30 minutes. The request was to scrape definite data from a legal site and to place the information into an Excel spreadsheet.Photo by Tingey Injury Law Firm on UnsplashThis is how I arrived the price. The customer told me that he does the task daily, it takes about 45 minutes and would pay some $20 per hour to…$5000 Per Hour Web Scraping Legal SiteI answered a an advertisement on Craigslist to build a web scraper for a law firm. I actually built the web scraper in about 30 minutes. The request was to scrape definite data from a legal site and to place the information into an Excel spreadsheet.Photo by Tingey Injury Law Firm on UnsplashThis is how I arrived the price. The customer told me that he does the task daily, it takes about 45 minutes and would pay some $20 per hour to…$5000 Per Hour Web Scraping Legal Site"
Joe Procopio,"Don’t Ask Your Customers What They Want, Ask What They Do",https://medium.com/@jproco/dont-ask-your-customers-what-they-want-ask-what-they-do-6c743502ebcc?source=topics_v2---------50-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Don’t Ask Your Customers What They Want, Ask What They DoWhat They Want Is For You To Do Their Job, So Get To ItA startup I advise is working on a B2B SaaS platform to take a large number of manual tasks out of the hands of their customers and automate those tasks as much as they can be automated. The goal of the product is to allow their customers to do more with less, increase…Don’t Ask Your Customers What They Want, Ask What They DoWhat They Want Is For You To Do Their Job, So Get To ItA startup I advise is working on a B2B SaaS platform to take a large number of manual tasks out of the hands of their customers and automate those tasks as much as they can be automated. The goal of the product is to allow their customers to do more with less, increase…Don’t Ask Your Customers What They Want, Ask What They DoWhat They Want Is For You To Do Their Job, So Get To It"
Liam Saville,"With the release of ChatGPT, are the days of human writers numbered?",https://medium.com/@liamsaville/with-the-release-of-chatgpt-are-the-days-of-human-writers-numbered-d57caa2253cc?source=topics_v2---------51-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"With the release of ChatGPT, are the days of human writers numbered?One writer’s quest to understand this new technologyImage: Deposit PhotosOpenAI’s ChatGPT was launched with significant hype by the artificial intelligence (AI) research laboratory on 30 November 2022 and surpassed the 1 million user mark in just six days. But can this clever chatbot that interacts conversationally and can, at least…With the release of ChatGPT, are the days of human writers numbered?One writer’s quest to understand this new technologyImage: Deposit PhotosOpenAI’s ChatGPT was launched with significant hype by the artificial intelligence (AI) research laboratory on 30 November 2022 and surpassed the 1 million user mark in just six days. But can this clever chatbot that interacts conversationally and can, at least…With the release of ChatGPT, are the days of human writers numbered?One writer’s quest to understand this new technology"
Aytekin Tank,How to Streamline Your Business,https://medium.com/swlh/how-to-streamline-your-business-b001c68976e1?source=topics_v2---------53-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"How to Streamline Your BusinessAnd why you shouldPhoto by Crew on UnsplashA long time ago — as in, before 2000 — we used a device called a fax machine. The fax machine was what you turned to when you needed to send or receive a signature from someone outside of walking proximity. And while it’s true that using a fax is easier than hand-delivering the document, that doesn’t mean it’s especially efficient, especially not by modern standards: You have…How to Streamline Your BusinessAnd why you shouldPhoto by Crew on UnsplashA long time ago — as in, before 2000 — we used a device called a fax machine. The fax machine was what you turned to when you needed to send or receive a signature from someone outside of walking proximity. And while it’s true that using a fax is easier than hand-delivering the document, that doesn’t mean it’s especially efficient, especially not by modern standards: You have…How to Streamline Your BusinessAnd why you should"
Grant Piper,What The Heck Is Everyone Doing With Their Free Time?,https://medium.com/@grantpiperwriting/what-the-heck-is-everyone-doing-with-their-free-time-c71504a210ed?source=topics_v2---------55-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"What The Heck Is Everyone Doing With Their Free Time?An honest question about our modern worldPhoto by Tim Gouw on UnsplashI was recently trapped at the grocery store. The aisle was cluttered with shoppers who were filling multiple orders for pick up or delivery. These people were capitalizing on large swaths of shelves while consulting their phones repeatedly. They are in their own worlds, wholly focused on the task at hand…What The Heck Is Everyone Doing With Their Free Time?An honest question about our modern worldPhoto by Tim Gouw on UnsplashI was recently trapped at the grocery store. The aisle was cluttered with shoppers who were filling multiple orders for pick up or delivery. These people were capitalizing on large swaths of shelves while consulting their phones repeatedly. They are in their own worlds, wholly focused on the task at hand…What The Heck Is Everyone Doing With Their Free Time?An honest question about our modern world"
Christianlauer,Google introduces Simple ML for Sheets,https://medium.com/codex/google-introduces-simple-ml-for-sheets-56d428cc8cbd?source=topics_v2---------59-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Google introduces Simple ML for SheetsHow you can easily develop Machine Learning Model with Google SheetsPhoto by Elle Cartier on UnsplashIn order to integrate the topic of Machine Learning, Big Data & Co. more into the everyday life of people and companies, suitable solutions are needed. Google is now starting with Simple ML.Google introduces Simple ML for SheetsHow you can easily develop Machine Learning Model with Google SheetsPhoto by Elle Cartier on UnsplashIn order to integrate the topic of Machine Learning, Big Data & Co. more into the everyday life of people and companies, suitable solutions are needed. Google is now starting with Simple ML.Google introduces Simple ML for SheetsHow you can easily develop Machine Learning Model with Google Sheets"
Tremis Skeete,Software Delivery Isn’t Linear: Value Based Decision Making at Sustainably,https://medium.com/managing-digital-products/software-delivery-isnt-linear-value-based-decision-making-at-sustainably-8984777f7a05?source=topics_v2---------63-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Software Delivery Isn’t Linear: Value Based Decision Making at SustainablyProduct leader Kristina Philip shares lessons and stories about building software to advance social philanthropy.With the world wide web in its third decade, more individuals and businesses continue to shift their attention towards deciding what kind of impact…Software Delivery Isn’t Linear: Value Based Decision Making at SustainablyProduct leader Kristina Philip shares lessons and stories about building software to advance social philanthropy.With the world wide web in its third decade, more individuals and businesses continue to shift their attention towards deciding what kind of impact…Software Delivery Isn’t Linear: Value Based Decision Making at SustainablyProduct leader Kristina Philip shares lessons and stories about building software to advance social philanthropy."
Mark Ellis,5 SURPRISING Things I Learned about Apple in 2022,https://medium.com/macoclock/5-surprising-things-i-learned-about-apple-in-2022-7891377ece99?source=topics_v2---------65-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,5 SURPRISING Things I Learned about Apple in 2022When will I (or they) learn?Image courtesy of authorI’d love to know what Tim Cook thinks about Apple’s performance in 2022. Not in monetary terms — we all know that record revenue and profits continue to be smashed; I’m far more interested in how he thinks the company performed for its loyal customers.5 SURPRISING Things I Learned about Apple in 2022When will I (or they) learn?Image courtesy of authorI’d love to know what Tim Cook thinks about Apple’s performance in 2022. Not in monetary terms — we all know that record revenue and profits continue to be smashed; I’m far more interested in how he thinks the company performed for its loyal customers.5 SURPRISING Things I Learned about Apple in 2022When will I (or they) learn?
Arjun Gullbadhar,Create a Pencil Sketch From an Image using Python and AI,https://medium.com/gitconnected/create-a-pencil-sketch-from-an-image-using-python-and-ai-638483a26fc?source=topics_v2---------72-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Create a Pencil Sketch From an Image using Python and AIDeep learning models have shown remarkable success in tasks such as image classification and object detection. But they can also be used to generate artistic outputs, such as sketches. One such model is Artline, which is a deep-learning model that can convert images into sketches.Artline uses a technique called “style transfer” to convert images into sketches. Style…Create a Pencil Sketch From an Image using Python and AIDeep learning models have shown remarkable success in tasks such as image classification and object detection. But they can also be used to generate artistic outputs, such as sketches. One such model is Artline, which is a deep-learning model that can convert images into sketches.Artline uses a technique called “style transfer” to convert images into sketches. Style…Create a Pencil Sketch From an Image using Python and AI"
"Ben ""The Hosk"" Hosking",Rule One on Page One of the Book of Software Development Is…,https://medium.com/dev-genius/rule-one-on-page-one-of-the-book-of-software-development-is-9b9cb1e75ce3?source=topics_v2---------73-84--------------------d748597d_0316_4099_922a_8a44b9fd47db-------17,"Rule One on Page One of the Book of Software Development Is…Creating software is more complex than you think, even when you know itPhoto by Sohel Patel from Pexels:“The first step of any project is to grossly underestimate its complexity and difficulty.” — Nicoll HuntThe first rule on page one of the book of software development is to never underestimate…Rule One on Page One of the Book of Software Development Is…Creating software is more complex than you think, even when you know itPhoto by Sohel Patel from Pexels:“The first step of any project is to grossly underestimate its complexity and difficulty.” — Nicoll HuntThe first rule on page one of the book of software development is to never underestimate…Rule One on Page One of the Book of Software Development Is…"
